Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x
0.20300,0.05000,1.59439,0.00000,1.69439
0.20400,0.05000,1.59530,0.00000,1.69530
0.20500,0.05000,1.59620,0.00000,1.69620
0.20600,0.05000,1.59711,0.00000,1.69711
0.20700,0.05000,1.59802,0.00000,1.69802
0.20800,0.05000,1.59893,0.00000,1.69893
0.20900,0.05000,1.59983,0.00000,1.69983
0.21000,0.05000,1.60074,0.00000,1.70074
0.21100,0.05000,1.60164,0.00000,1.70164
0.21200,0.05000,1.60255,0.00000,1.70255
0.21300,0.05000,1.60345,0.00000,1.70345
0.21400,0.05000,1.60435,0.00000,1.70435
0.21500,0.05000,1.60525,0.00000,1.70525
0.21600,0.05000,1.60616,0.00000,1.70616
0.21700,0.05000,1.60706,0.00000,1.70706
0.21800,0.05000,1.60796,0.00000,1.70796
0.21900,0.05000,1.60886,0.00000,1.70886
0.22000,0.05000,1.60976,0.00000,1.70976
0.22100,0.05000,1.61066,0.00000,1.71066
0.22200,0.05000,1.61156,0.00000,1.71156
0.22300,0.05000,1.61245,0.00000,1.71245
0.22400,0.05000,1.61335,0.00000,1.71335
0.22500,0.05000,1.61425,0.00000,1.71425
0.22600,0.05000,1.61514,0.00000,1.71514
0.22700,0.05000,1.61604,0.00000,1.71604
0.22800,0.05000,1.61693,0.00000,1.71693
0.22900,0.05000,1.61783,0.00000,1.71783
0.23000,0.05000,1.61872,0.00000,1.71872
0.23100,0.05000,1.61962,0.00000,1.71962
0.23200,0.05000,1.62051,0.00000,1.72051
0.23300,0.05000,1.62140,0.00000,1.72140
0.23400,0.05000,1.62229,0.00000,1.72229
0.23500,0.05000,1.62318,0.00000,1.72318
0.23600,0.05000,1.62408,0.00000,1.72408
0.23700,0.05000,1.62497,0.00000,1.72497
0.23800,0.05000,1.62585,0.00000,1.72585
0.23900,0.05000,1.62674,0.00000,1.72674
0.24000,0.05000,1.62763,0.00000,1.72763
0.24100,0.05000,1.62852,0.00000,1.72852
0.24200,0.05000,1.62941,0.00000,1.72941
0.24300,0.05000,1.63029,0.00000,1.73029
0.24400,0.05000,1.63118,0.00000,1.73118
0.24500,0.05000,1.63206,0.00000,1.73206
0.24600,0.05000,1.63295,0.00000,1.73295
0.24700,0.05000,1.63383,0.00000,1.73383
0.24800,0.05000,1.63472,0.00000,1.73472
0.24900,0.05000,1.63560,0.00000,1.73560
0.25000,0.05000,1.63648,0.00000,1.73648
0.25100,0.05000,1.63736,0.00000,1.73736
0.25200,0.05000,1.63825,0.00000,1.73825
0.25300,0.05000,1.63913,0.00000,1.73913
0.25400,0.05000,1.64001,0.00000,1.74001
0.25500,0.05000,1.64089,0.00000,1.74089
0.25600,0.05000,1.64176,0.00000,1.74176
0.25700,0.05000,1.64264,0.00000,1.74264
0.25800,0.05000,1.64352,0.00000,1.74352
0.25900,0.05000,1.64440,0.00000,1.74440
0.26000,0.05000,1.64527,0.00000,1.74527
0.26100,0.05000,1.64615,0.00000,1.74615
0.26200,0.05000,1.64703,0.00000,1.74703
0.26300,0.05000,1.64790,0.00000,1.74790
0.26400,0.05000,1.64877,0.00000,1.74877
0.26500,0.05000,1.64965,0.00000,1.74965
0.26600,0.05000,1.65052,0.00000,1.75052
0.26700,0.05000,1.65139,0.00000,1.75139
0.26800,0.05000,1.65227,0.00000,1.75227
0.26900,0.05000,1.65314,0.00000,1.75314
0.27000,0.05000,1.65401,0.00000,1.75401
0.27100,0.05000,1.65488,0.00000,1.75488
0.27200,0.05000,1.65575,0.00000,1.75575
0.27300,0.05000,1.65662,0.00000,1.75662
0.27400,0.05000,1.65748,0.00000,1.75748
0.27500,0.05000,1.65835,0.00000,1.75835
0.27600,0.05000,1.65922,0.00000,1.75922
0.27700,0.05000,1.66008,0.00000,1.76008
0.27800,0.05000,1.66095,0.00000,1.76095
0.27900,0.05000,1.66182,0.00000,1.76182
0.28000,0.05000,1.66268,0.00000,1.76268
0.28100,0.05000,1.66354,0.00000,1.76354
0.28200,0.05000,1.66441,0.00000,1.76441
0.28300,0.05000,1.66527,0.00000,1.76527
0.28400,0.05000,1.66613,0.00000,1.76613
0.28500,0.05000,1.66699,0.00000,1.76699
