Time,Spring_0:a_end,Spring_0:b_end,Ball0:x,Ball1:x
3.65000,0.18381,1.31619,0.08381,1.41619
3.66000,0.18191,1.31809,0.08191,1.41809
3.67000,0.18002,1.31998,0.08002,1.41998
3.68000,0.17815,1.32185,0.07815,1.42185
3.69000,0.17629,1.32371,0.07629,1.42371
3.70000,0.17445,1.32555,0.07445,1.42555
3.71000,0.17262,1.32738,0.07262,1.42738
3.72000,0.17081,1.32919,0.07081,1.42919
3.73000,0.16902,1.33098,0.06902,1.43098
3.74000,0.16724,1.33276,0.06724,1.43276
3.75000,0.16547,1.33453,0.06547,1.43453
3.76000,0.16373,1.33627,0.06373,1.43627
3.77000,0.16200,1.33800,0.06200,1.43800
3.78000,0.16029,1.33971,0.06029,1.43971
3.79000,0.15859,1.34141,0.05859,1.44141
3.80000,0.15692,1.34308,0.05692,1.44308
3.81000,0.15526,1.34474,0.05526,1.44474
3.82000,0.15362,1.34638,0.05362,1.44638
3.83000,0.15200,1.34800,0.05200,1.44800
3.84000,0.15041,1.34959,0.05041,1.44959
3.85000,0.14883,1.35117,0.04883,1.45117
3.86000,0.14727,1.35273,0.04727,1.45273
3.87000,0.14573,1.35427,0.04573,1.45427
3.88000,0.14421,1.35579,0.04421,1.45579
3.89000,0.14272,1.35728,0.04272,1.45728
3.90000,0.14124,1.35876,0.04124,1.45876
3.91000,0.13979,1.36021,0.03979,1.46021
3.92000,0.13836,1.36164,0.03836,1.46164
3.93000,0.13695,1.36305,0.03695,1.46305
3.94000,0.13556,1.36444,0.03556,1.46444
3.95000,0.13420,1.36580,0.03420,1.46580
3.96000,0.13286,1.36714,0.03286,1.46714
3.97000,0.13154,1.36846,0.03154,1.46846
3.98000,0.13025,1.36975,0.03025,1.46975
3.99000,0.12898,1.37102,0.02898,1.47102
4.00000,0.12774,1.37226,0.02774,1.47226
4.01000,0.12652,1.37348,0.02652,1.47348
4.02000,0.12532,1.37468,0.02532,1.47468
4.03000,0.12415,1.37585,0.02415,1.47585
4.04000,0.12300,1.37700,0.02300,1.47700
4.05000,0.12188,1.37812,0.02188,1.47812
4.06000,0.12079,1.37921,0.02079,1.47921
4.07000,0.11972,1.38028,0.01972,1.48028
4.08000,0.11868,1.38132,0.01868,1.48132
4.09000,0.11766,1.38234,0.01766,1.48234
4.10000,0.11667,1.38333,0.01667,1.48333
4.11000,0.11571,1.38429,0.01571,1.48429
4.12000,0.11477,1.38523,0.01477,1.48523
4.13000,0.11386,1.38614,0.01386,1.48614
4.14000,0.11298,1.38702,0.01298,1.48702
4.15000,0.11213,1.38787,0.01213,1.48787
4.16000,0.11130,1.38870,0.01130,1.48870
4.17000,0.11050,1.38950,0.01050,1.48950
4.18000,0.10973,1.39027,0.00973,1.49027
4.19000,0.10899,1.39101,0.00899,1.49101
4.20000,0.10827,1.39173,0.00827,1.49173
4.21000,0.10758,1.39242,0.00758,1.49242
4.22000,0.10693,1.39307,0.00693,1.49307
4.23000,0.10630,1.39370,0.00630,1.49370
4.24000,0.10570,1.39430,0.00570,1.49430
4.25000,0.10512,1.39488,0.00512,1.49488
4.26000,0.10458,1.39542,0.00458,1.49542
4.27000,0.10407,1.39593,0.00407,1.49593
4.28000,0.10358,1.39642,0.00358,1.49642
4.29000,0.10313,1.39687,0.00313,1.49687
4.30000,0.10270,1.39730,0.00270,1.49730
4.31000,0.10230,1.39770,0.00230,1.49770
4.32000,0.10193,1.39807,0.00193,1.49807
4.33000,0.10160,1.39840,0.00160,1.49840
4.34000,0.10129,1.39871,0.00129,1.49871
4.35000,0.10101,1.39899,0.00101,1.49899
4.36000,0.10076,1.39924,0.00076,1.49924
4.37000,0.10054,1.39946,0.00054,1.49946
4.38000,0.10036,1.39964,0.00036,1.49964
4.39000,0.10020,1.39980,0.00020,1.49980
4.40000,0.10007,1.39993,0.00007,1.49993
4.41000,0.09997,1.40003,-0.00003,1.50003
4.42000,0.09990,1.40010,-0.00010,1.50010
4.43000,0.09986,1.40014,-0.00014,1.50014
4.44000,0.09985,1.40015,-0.00015,1.50015
4.45000,0.09987,1.40013,-0.00013,1.50013
4.46000,0.09993,1.40007,-0.00007,1.50007
4.47000,0.10001,1.39999,0.00001,1.49999
4.48000,0.10012,1.39988,0.00012,1.49988
4.49000,0.10026,1.39974,0.00026,1.49974
4.50000,0.10043,1.39957,0.00043,1.49957
4.51000,0.10063,1.39937,0.00063,1.49937
4.52000,0.10086,1.39914,0.00086,1.49914
4.53000,0.10112,1.39888,0.00112,1.49888
4.54000,0.10142,1.39858,0.00142,1.49858
4.55000,0.10174,1.39826,0.00174,1.49826
4.56000,0.10209,1.39791,0.00209,1.49791
4.57000,0.10247,1.39753,0.00247,1.49753
4.58000,0.10287,1.39713,0.00287,1.49713
4.59000,0.10331,1.39669,0.00331,1.49669
4.60000,0.10378,1.39622,0.00378,1.49622
4.61000,0.10428,1.39572,0.00428,1.49572
4.62000,0.10480,1.39520,0.00480,1.49520
4.63000,0.10536,1.39464,0.00536,1.49464
4.64000,0.10594,1.39406,0.00594,1.49406
4.65000,0.10656,1.39344,0.00656,1.49344
4.66000,0.10720,1.39280,0.00720,1.49280
4.67000,0.10787,1.39213,0.00787,1.49213
4.68000,0.10857,1.39143,0.00857,1.49143
4.69000,0.10930,1.39070,0.00930,1.49070
4.70000,0.11005,1.38995,0.01005,1.48995
4.71000,0.11083,1.38917,0.01083,1.48917
4.72000,0.11165,1.38835,0.01165,1.48835
4.73000,0.11248,1.38752,0.01248,1.48752
4.74000,0.11335,1.38665,0.01335,1.48665
4.75000,0.11424,1.38576,0.01424,1.48576
4.76000,0.11516,1.38484,0.01516,1.48484
4.77000,0.11611,1.38389,0.01611,1.48389
4.78000,0.11709,1.38291,0.01709,1.48291
4.79000,0.11809,1.38191,0.01809,1.48191
4.80000,0.11912,1.38088,0.01912,1.48088
4.81000,0.12017,1.37983,0.02017,1.47983
4.82000,0.12125,1.37875,0.02125,1.47875
4.83000,0.12235,1.37765,0.02235,1.47765
4.84000,0.12348,1.37652,0.02348,1.47652
4.85000,0.12464,1.37536,0.02464,1.47536
4.86000,0.12582,1.37418,0.02582,1.47418
4.87000,0.12703,1.37297,0.02703,1.47297
4.88000,0.12826,1.37174,0.02826,1.47174
4.89000,0.12951,1.37049,0.02951,1.47049
4.90000,0.13079,1.36921,0.03079,1.46921
4.91000,0.13210,1.36790,0.03210,1.46790
4.92000,0.13342,1.36658,0.03342,1.46658
4.93000,0.13477,1.36523,0.03477,1.46523
4.94000,0.13615,1.36385,0.03615,1.46385
4.95000,0.13754,1.36246,0.03754,1.46246
4.96000,0.13896,1.36104,0.03896,1.46104
4.97000,0.14040,1.35960,0.04040,1.45960
4.98000,0.14186,1.35814,0.04186,1.45814
4.99000,0.14335,1.35665,0.04335,1.45665
5.00000,0.14485,1.35515,0.04485,1.45515
5.01000,0.14638,1.35362,0.04638,1.45362
5.02000,0.14793,1.35207,0.04793,1.45207
5.03000,0.14949,1.35051,0.04949,1.45051
5.04000,0.15108,1.34892,0.05108,1.44892
5.05000,0.15269,1.34731,0.05269,1.44731
5.06000,0.15432,1.34568,0.05432,1.44568
5.07000,0.15596,1.34404,0.05596,1.44404
5.08000,0.15763,1.34237,0.05763,1.44237
5.09000,0.15931,1.34069,0.05931,1.44069
5.10000,0.16101,1.33899,0.06101,1.43899
5.11000,0.16273,1.33727,0.06273,1.43727
5.12000,0.16447,1.33553,0.06447,1.43553
5.13000,0.16622,1.33378,0.06622,1.43378
5.14000,0.16799,1.33201,0.06799,1.43201
5.15000,0.16978,1.33022,0.06978,1.43022
5.16000,0.17158,1.32842,0.07158,1.42842
5.17000,0.17340,1.32660,0.07340,1.42660
5.18000,0.17524,1.32476,0.07524,1.42476
5.19000,0.17709,1.32291,0.07709,1.42291
5.20000,0.17895,1.32105,0.07895,1.42105
5.21000,0.18083,1.31917,0.08083,1.41917
5.22000,0.18272,1.31728,0.08272,1.41728
5.23000,0.18463,1.31537,0.08463,1.41537
5.24000,0.18654,1.31346,0.08654,1.41346
5.25000,0.18847,1.31153,0.08847,1.41153
5.26000,0.19042,1.30958,0.09042,1.40958
5.27000,0.19237,1.30763,0.09237,1.40763
5.28000,0.19434,1.30566,0.09434,1.40566
5.29000,0.19632,1.30368,0.09632,1.40368
5.30000,0.19831,1.30169,0.09831,1.40169
5.31000,0.20031,1.29969,0.10031,1.39969
5.32000,0.20231,1.29769,0.10231,1.39769
5.33000,0.20433,1.29567,0.10433,1.39567
5.34000,0.20636,1.29364,0.10636,1.39364
5.35000,0.20840,1.29160,0.10840,1.39160
5.36000,0.21044,1.28956,0.11044,1.38956
5.37000,0.21250,1.28750,0.11250,1.38750
5.38000,0.21456,1.28544,0.11456,1.38544
5.39000,0.21662,1.28338,0.11662,1.38338
5.40000,0.21870,1.28130,0.11870,1.38130
5.41000,0.22078,1.27922,0.12078,1.37922
5.42000,0.22286,1.27714,0.12286,1.37714
5.43000,0.22495,1.27505,0.12495,1.37505
5.44000,0.22705,1.27295,0.12705,1.37295
5.45000,0.22915,1.27085,0.12915,1.37085
5.46000,0.23126,1.26874,0.13126,1.36874
5.47000,0.23337,1.26663,0.13337,1.36663
5.48000,0.23548,1.26452,0.13548,1.36452
5.49000,0.23759,1.26241,0.13759,1.36241
5.50000,0.23971,1.26029,0.13971,1.36029
5.51000,0.24183,1.25817,0.14183,1.35817
5.52000,0.24395,1.25605,0.14395,1.35605
5.53000,0.24608,1.25392,0.14608,1.35392
5.54000,0.24820,1.25180,0.14820,1.35180
