Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Block0:x
7.71000,0.05000,1.12072,0.00000,1.17072
7.72000,0.05000,1.11680,0.00000,1.16680
7.73000,0.05000,1.11287,0.00000,1.16287
7.74000,0.05000,1.10893,0.00000,1.15893
7.75000,0.05000,1.10499,0.00000,1.15499
7.76000,0.05000,1.10104,0.00000,1.15104
7.77000,0.05000,1.09709,0.00000,1.14709
7.78000,0.05000,1.09313,0.00000,1.14313
7.79000,0.05000,1.08917,0.00000,1.13917
7.80000,0.05000,1.08520,0.00000,1.13520
7.81000,0.05000,1.08123,0.00000,1.13123
7.82000,0.05000,1.07726,0.00000,1.12726
7.83000,0.05000,1.07328,0.00000,1.12328
7.84000,0.05000,1.06931,0.00000,1.11931
7.85000,0.05000,1.06533,0.00000,1.11533
7.86000,0.05000,1.06135,0.00000,1.11135
7.87000,0.05000,1.05736,0.00000,1.10736
7.88000,0.05000,1.05338,0.00000,1.10338
7.89000,0.05000,1.04940,0.00000,1.09940
7.90000,0.05000,1.04541,0.00000,1.09541
7.91000,0.05000,1.04143,0.00000,1.09143
7.92000,0.05000,1.03745,0.00000,1.08745
7.93000,0.05000,1.03347,0.00000,1.08347
7.94000,0.05000,1.02949,0.00000,1.07949
7.95000,0.05000,1.02551,0.00000,1.07551
7.96000,0.05000,1.02154,0.00000,1.07154
7.97000,0.05000,1.01757,0.00000,1.06757
7.98000,0.05000,1.01360,0.00000,1.06360
7.99000,0.05000,1.00963,0.00000,1.05963
8.00000,0.05000,1.00567,0.00000,1.05567
8.01000,0.05000,1.00171,0.00000,1.05171
8.02000,0.05000,0.99776,0.00000,1.04776
8.03000,0.05000,0.99382,0.00000,1.04382
8.04000,0.05000,0.98988,0.00000,1.03988
8.05000,0.05000,0.98594,0.00000,1.03594
8.06000,0.05000,0.98201,0.00000,1.03201
8.07000,0.05000,0.97809,0.00000,1.02809
8.08000,0.05000,0.97417,0.00000,1.02417
8.09000,0.05000,0.97027,0.00000,1.02027
8.10000,0.05000,0.96637,0.00000,1.01637
8.11000,0.05000,0.96248,0.00000,1.01248
8.12000,0.05000,0.95859,0.00000,1.00859
8.13000,0.05000,0.95472,0.00000,1.00472
8.14000,0.05000,0.95085,0.00000,1.00085
8.15000,0.05000,0.94700,0.00000,0.99700
8.16000,0.05000,0.94316,0.00000,0.99316
8.17000,0.05000,0.93932,0.00000,0.98932
8.18000,0.05000,0.93550,0.00000,0.98550
8.19000,0.05000,0.93169,0.00000,0.98169
8.20000,0.05000,0.92789,0.00000,0.97789
8.21000,0.05000,0.92410,0.00000,0.97410
8.22000,0.05000,0.92033,0.00000,0.97033
8.23000,0.05000,0.91656,0.00000,0.96656
8.24000,0.05000,0.91281,0.00000,0.96281
8.25000,0.05000,0.90908,0.00000,0.95908
8.26000,0.05000,0.90536,0.00000,0.95536
8.27000,0.05000,0.90165,0.00000,0.95165
8.28000,0.05000,0.89796,0.00000,0.94796
8.29000,0.05000,0.89428,0.00000,0.94428
8.30000,0.05000,0.89062,0.00000,0.94062
8.31000,0.05000,0.88697,0.00000,0.93697
8.32000,0.05000,0.88334,0.00000,0.93334
8.33000,0.05000,0.87973,0.00000,0.92973
8.34000,0.05000,0.87613,0.00000,0.92613
8.35000,0.05000,0.87255,0.00000,0.92255
8.36000,0.05000,0.86899,0.00000,0.91899
8.37000,0.05000,0.86544,0.00000,0.91544
8.38000,0.05000,0.86192,0.00000,0.91192
8.39000,0.05000,0.85841,0.00000,0.90841
8.40000,0.05000,0.85492,0.00000,0.90492
8.41000,0.05000,0.85145,0.00000,0.90145
8.42000,0.05000,0.84800,0.00000,0.89800
8.43000,0.05000,0.84457,0.00000,0.89457
8.44000,0.05000,0.84116,0.00000,0.89116
8.45000,0.05000,0.83778,0.00000,0.88778
8.46000,0.05000,0.83441,0.00000,0.88441
8.47000,0.05000,0.83106,0.00000,0.88106
8.48000,0.05000,0.82774,0.00000,0.87774
